date,T1,T3,T6,T5,T8,T10
2020-07-31,1.1006047656906274e-12,2.728241038559779e-05,9.576191057098497e-05,0.9945343011103106,1.1135493744854073e-12,1.5156336043556948e-06
2020-08-31,,,,,,
2020-09-30,2.4600784666331616e-10,3.6734426748248083e-06,1.1868658729311526e-05,0.9994133136395174,3.891788043147605e-10,3.875569200077889e-06
2020-10-31,,,,,,
2020-11-30,3.6384968727666934e-10,8.308825620379391e-05,4.243196535119414e-06,0.9997407895015306,2.5559357976790165e-09,3.346281404258558e-07
2020-12-31,2.149757075493827e-13,1.2792607428448736e-05,3.1991351800181173e-06,0.9884790068527813,7.727136801164412e-12,2.5807604951323954e-06
2021-01-31,8.716009553426591e-14,2.1880849956499412e-06,2.1734366077699188e-08,0.44497615897954806,1.3295412956988263e-15,2.462933885291599e-09
2021-02-28,,,,,,
2021-03-31,4.345573548691211e-15,2.645906874594113e-05,7.1240745785254976e-06,0.8489743242292457,4.437706818443997e-15,5.064982259175183e-06
2021-04-30,1.1994497939102243e-16,2.4382461625537063e-05,1.1309665670415836e-07,0.9058087191934819,3.8676209455943565e-16,9.515603894046154e-09
2021-05-31,,,,,,
2021-06-30,6.626692353706733e-14,0.00010927519715270101,7.598610600694083e-06,0.9993721976460315,1.209419046936887e-12,3.553447538862077e-07
2021-07-31,1.3039388985462882e-14,0.0008828945684914747,8.064702356847479e-06,0.9596072061238472,1.971532418956072e-13,8.548707717060663e-07
2021-08-31,,,,,,
2021-09-30,1.5636758499568526e-10,0.0005556627501633625,3.0164435704424022e-06,0.8834312420268255,3.9419474209564556e-08,3.067659421410894e-06
2021-10-31,,,,,,
2021-11-30,5.994865894781524e-08,0.0005445338110986898,9.25066833371804e-06,0.7104220846134162,0.00020620958028259425,6.797199628619451e-07
2021-12-31,4.3141508381964963e-10,0.0013384244184965676,0.006128269025839083,0.6404856954623276,2.9057124795663115e-08,0.00048540606674672807
2022-01-31,1.382346059369372e-16,0.00019151440401649956,1.4083077452716602e-07,0.18785128185696293,9.85812419696242e-14,3.6125831557642773e-09
2022-02-28,,,,,,
